labor/labour,A2
lack,A2
lake,A2
lamp,A2
landscape,A2
lane,A2
latest,A2
law,A2
lawyer,A2
laziness,A2
learner,A2
leather,A2
left-hand,A2
leisure,A2
lemon,A2
lemonade,A2
lend,A2
less,A2
liberty,A2
license/licence,A2
lifestyle,A2
likely,A2
lip,A2
liter/litre,A2
lively,A2
load,A2
local,A2
lock,A2
logical,A2
loose,A2
lose,A2
lost,A2
loudly,A2
lover,A2
low,A2
luckily,A2
lunchtime,A2
lyric,A2
mad,A2
magic,A2
main course,A2
mainly,A2
major,A2
maker,A2
make-up,A2
mall,A2
manage,A2
manager,A2
manner,A2
mark,A2
market,A2
married,A2
marry,A2
marvelous/marvellous,A2
material,A2
max,A2
mean,A2
meaning,A2
medal,A2
medical,A2
melon,A2
member,A2
mention,A2
menu,A2
metal,A2
meter/metre,A2
method,A2
midday,A2
midnight,A2
might,A2
military,A2
million,A2
mineral water,A2
mirror,A2
missing,A2
mistake,A2
mobile,A2
modern,A2
mood,A2
mosque,A2
most,A2
mostly,A2
motorway,A2
MP3 player,A2
Ms./Ms,A2
mug,A2
murder,A2
museum,A2
mushroom,A2
musical,A2
myself,A2
mysterious,A2
mystery,A2
napkin,A2
nation,A2
national,A2
native,A2
natural,A2
nature,A2
nearly,A2
necessary,A2
negative,A2
nervous,A2
net,A2
next,A2
next to,A2
no one,A2
nobody,A2
noisy,A2
noon,A2
normal,A2
north,A2
notice,A2
noun,A2
novel,A2
nowadays,A2
oak,A2
occupation,A2
offer,A2
official,A2
oil,A2
olive oil,A2
Olympic,A2
omelet/omelette,A2
on,A2
onion,A2
online,A2
operate,A2
opinion,A2
opportunity,A2
oppose,A2
opposite,A2
organize/organise,A2
organized/organised,A2
original,A2
orphan,A2
ourselves,A2
out of,A2
oven,A2
over,A2
overweight,A2
pacific,A2
pack,A2
painter,A2
pal,A2
pan,A2
panic,A2
part,A2
partly,A2
pass,A2
passage,A2
passenger,A2
pasta,A2
path,A2
PC,A2
pea,A2
peaceful,A2
pear,A2
pence,A2
penfriend/pen friend,A2
pepper,A2
perfect,A2
perfectly,A2
perform,A2
performance,A2
perfume,A2
perhaps,A2
permission,A2
personality,A2
petrol,A2
petrol station,A2
photograph,A2
photographer,A2
photography,A2
physical,A2
physically,A2
pile,A2
pilgrim,A2
pill,A2
pilot,A2
pity,A2
planet,A2
plant,A2
plastic,A2
plate,A2
playful,A2
playground,A2
pleasant,A2
pleased,A2
pleasing,A2
plenty,A2
plural,A2
police,A2
police officer,A2
police station,A2
policeman,A2
policewoman,A2
polite,A2
political,A2
pollute,A2
popular,A2
population,A2
portrait,A2
position,A2
possible,A2
possibly,A2
post office,A2
pour,A2
power,A2
powerful,A2
precise,A2
predict,A2
prediction,A2
prefer,A2
prepare,A2
pressure,A2
prevent,A2
pride,A2
principal,A2
printer,A2
private,A2
pro,A2
probably,A2
produce,A2
product,A2
production,A2
professional,A2
progressive,A2
promise,A2
pronounce,A2
pronunciation,A2
proper,A2
provide,A2
psychologist,A2
publish,A2
pull,A2
punctuation,A2
purple,A2
purpose,A2
pursue,A2
queen,A2
quick,A2
quietly,A2
quite,A2
quiz,A2
racket,A2
raincoat,A2
raise,A2
range,A2
rap,A2
rate,A2
rather,A2
rating,A2
raw,A2
ray,A2
realize/realise,A2
receipt,A2
receive,A2
recent,A2
recently,A2
receptionist,A2
recycle,A2
refer,A2
reflect,A2
refrigerator,A2
regular,A2
regularly,A2
relax,A2
relaxed,A2
release,A2
remain,A2
remind,A2
remote,A2
rent,A2
repair,A2
replace,A2
reply,A2
report,A2
represent,A2
request,A2
research,A2
response,A2
retire,A2
retired,A2
return,A2
reunion,A2
reveal,A2
rhythm,A2
right-hand,A2
ring,A2
road,A2
rob,A2
robbery,A2
robin,A2
rock,A2
roll,A2
romance,A2
romantic,A2
roof,A2
root,A2
rope,A2
roughly,A2
roundabout,A2
royal,A2
rugby,A2
rumor/rumour,A2
runner,A2
running,A2
rush,A2
sadly,A2
safe,A2
sailing,A2
sake,A2
salt,A2
sample,A2
sandy,A2
satisfy,A2
sauce,A2
sausage,A2
scale,A2
scarf,A2
scene,A2
scenery,A2
schedule,A2
schoolchild,A2
schoolwork,A2
scientific,A2
scissors,A2
scream,A2
screen,A2
screw,A2
script,A2
seafood,A2
search,A2
seaside,A2
secretary,A2
seed,A2
seek,A2
seem,A2
semester,A2
send,A2
senior,A2
sense,A2
separate,A2
seriously,A2
serve,A2
set,A2
several,A2
sew,A2
shade,A2
shadow,A2
shall,A2
shampoo,A2
shape,A2
share,A2
shell,A2
shine,A2
shock,A2
shoot,A2
shop assistant,A2
shore,A2
short/shorts,A2
shot,A2
shout,A2
show,A2
sightseeing,A2
significant,A2
silence,A2
silently,A2
